宫崎骏吉卜力(スタジオジブリ),#genre#

百变狸猫,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/09.%E7%99%BE%E5%8F%98%E7%8B%B8%E7%8C%AB.The.Raccoon.War.1994.Bluray.1080p.x265.AAC(5.1).8Audios.GREENOTEA/%E7%99%BE%E5%8F%98%E7%8B%B8%E7%8C%AB.The.Raccoon.War.1994.Bluray.1080p.x265.AAC(5.1).8Audios.GREENOTEA.mkv
侧耳倾听,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/10.%E4%BE%A7%E8%80%B3%E5%80%BE%E5%90%AC.Whisper.of.the.Heart.1995.Bluray.1080p.x265.AAC(5.1).3Audios.GREENOTEA/%E4%BE%A7%E8%80%B3%E5%80%BE%E5%90%AC.Whisper.of.the.Heart.1995.Bluray.1080p.x265.AAC(5.1).3Audios.GREENOTEA.mkv
幽灵公主,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/11.%E5%B9%BD%E7%81%B5%E5%85%AC%E4%B8%BB.Princess.Mononoke.1997.Bluray.1080p.x265.AAC(5.1).11Audios.GREENOTEA/%E5%B9%BD%E7%81%B5%E5%85%AC%E4%B8%BB.Princess.Mononoke.1997.Bluray.1080p.x265.AAC(5.1).11Audios.GREENOTEA.mkv
我的邻居山田君,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/12.%E6%88%91%E7%9A%84%E9%82%BB%E5%B1%85%E5%B1%B1%E7%94%B0%E5%90%9B.My.Neighbors.The.Yamadas.1999.Bluray.1080p.x265.AAC(5.1).5Audios.GREENOTEA/%E6%88%91%E7%9A%84%E9%82%BB%E5%B1%85%E5%B1%B1%E7%94%B0%E5%90%9B.My.Neighbors.The.Yamadas.1999.Bluray.1080p.x265.AAC(5.1).5Audios.GREENOTEA.mkv
千与千寻,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/13.%E5%8D%83%E4%B8%8E%E5%8D%83%E5%AF%BB.Spirited.Away.2001.Bluray.1080p.x265.AAC(5.1).3Audios.GREENOTEA/Top008.%E5%8D%83%E4%B8%8E%E5%8D%83%E5%AF%BB.Spirited.Away.2001.Bluray.1080p.x265.AAC(5.1).3Audios.GREENOTEA.mkv
猫的报恩,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/14.%E7%8C%AB%E7%9A%84%E6%8A%A5%E6%81%A9.The.Cat.Returns.2002.Bluray.1080p.x265.AAC(5.1).7Audios.GREENOTEA/%E7%8C%AB%E7%9A%84%E6%8A%A5%E6%81%A9.The.Cat.Returns.2002.Bluray.1080p.x265.AAC(5.1).7Audios.GREENOTEA.mkv
哈尔的移动城堡,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/15.%E5%93%88%E5%B0%94%E7%9A%84%E7%A7%BB%E5%8A%A8%E5%9F%8E%E5%A0%A1.Howl's.Moving.Castle.2004.Bluray.1080p.x265.AAC(5.1).8Audios.GREENOTEA/%E5%93%88%E5%B0%94%E7%9A%84%E7%A7%BB%E5%8A%A8%E5%9F%8E%E5%A0%A1.Howl's.Moving.Castle.2004.Bluray.1080p.x265.AAC(5.1).8Audios.GREENOTEA.mkv
地海战记,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/16.%E5%9C%B0%E6%B5%B7%E6%88%98%E8%AE%B0.Tales.From.Earthsea.2006.Bluray.1080p.x265.AAC(5.1).7Audios.GREENOTEA/%E5%9C%B0%E6%B5%B7%E6%88%98%E8%AE%B0.Tales.From.Earthsea.2006.Bluray.1080p.x265.AAC(5.1).7Audios.GREENOTEA.mkv
悬崖上的金鱼姬,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/17.%E6%82%AC%E5%B4%96%E4%B8%8A%E7%9A%84%E9%87%91%E9%B1%BC%E5%A7%AC.Gake.no.ue.no.Ponyo.2008.Bluray.1080p.x265.AAC(5.1).8Audios.GREENOTEA/%E6%82%AC%E5%B4%96%E4%B8%8A%E7%9A%84%E9%87%91%E9%B1%BC%E5%A7%AC.Gake.no.ue.no.Ponyo.2008.Bluray.1080p.x265.AAC(5.1).8Audios.GREENOTEA.mkv
借东西的小人阿莉埃蒂,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/18.%E5%80%9F%E4%B8%9C%E8%A5%BF%E7%9A%84%E5%B0%8F%E4%BA%BA%E9%98%BF%E8%8E%89%E5%9F%83%E8%92%82.Karigurashi.no.Arrietty.2010.Bluray.1080p.x265.AAC.5Audios.GREENOTEA/%E5%80%9F%E4%B8%9C%E8%A5%BF%E7%9A%84%E5%B0%8F%E4%BA%BA%E9%98%BF%E8%8E%89%E5%9F%83%E8%92%82.Karigurashi.no.Arrietty.2010.Bluray.1080p.x265.AAC.5Audios.GREENOTEA.mkv
来自虞美人之坡,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/19.%E6%9D%A5%E8%87%AA%E8%99%9E%E7%BE%8E%E4%BA%BA%E4%B9%8B%E5%9D%A1.From.Up.on.Poppy.Hill.2011.Bluray.1080p.x265.AAC.3Audios.GREENOTEA/%E6%9D%A5%E8%87%AA%E8%99%9E%E7%BE%8E%E4%BA%BA%E4%B9%8B%E5%9D%A1.From.Up.on.Poppy.Hill.2011.Bluray.1080p.x265.AAC.3Audios.GREENOTEA.mkv
起风了,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/20.%E8%B5%B7%E9%A3%8E%E4%BA%86.The.Wind.Rises.2013.Bluray.1080p.x265.AAC.7Audios.GREENOTEA/%E8%B5%B7%E9%A3%8E%E4%BA%86.The.Wind.Rises.2013.Bluray.1080p.x265.AAC.7Audios.GREENOTEA.mkv
辉夜姬物语,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/21.%E8%BE%89%E5%A4%9C%E5%A7%AC%E7%89%A9%E8%AF%ADThe.Tale.of.The.Princess.Kaguya.2013.Bluray.1080p.x265.AAC(5.1).5Audios.GREENOTEA/%E8%BE%89%E5%A4%9C%E5%A7%AC%E7%89%A9%E8%AF%ADThe.Tale.of.The.Princess.Kaguya.2013.Bluray.1080p.x265.AAC(5.1).5Audios.GRE.mkv
记忆中的玛妮,https://alist.kebedd69.repl.co/d/%E7%9C%8B%E7%9A%84%E9%98%BF%E9%87%8C%E5%88%86%E4%BA%AB/%E7%94%B5%E5%BD%B1/%E5%AE%AB%E5%B4%8E%E9%AA%8F%E5%90%89%E5%8D%9C%E5%8A%9B(%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E3%82%B8%E3%83%96%E3%83%AA)%E5%B7%A5%E4%BD%9C%E5%AE%A4%E9%95%BF%E7%AF%87%E5%8A%A8%E6%BC%AB%E8%93%9D%E5%85%89%E5%90%88%E9%9B%86%E5%88%97%E8%A1%A8(22%E9%83%A8%E5%85%A8)/22.%E8%AE%B0%E5%BF%86%E4%B8%AD%E7%9A%84%E7%8E%9B%E5%A6%AE.When.Marnie.Was.There.2014.Bluray.1080p.x265.AAC(5.1).2Audios.GREENOTEA/%E8%AE%B0%E5%BF%86%E4%B8%AD%E7%9A%84%E7%8E%9B%E5%A6%AE.When.Marnie.Was.There.2014.Bluray.1080p.x265.AAC(5.1).2Audios.GREENOTEA.mkv
