<!--######################################################

                       .::::.

                     .::::::::.

                    :::::::::::  TV

                ..:::::::::::'

              '::::::::::::'

                .::::::::::

           '::::::::::::::..

                ..::::::::::::.

              ``::::::::::::::::

               ::::``:::::::::'        .:::.

              ::::'   ':::::'       .::::::::.

            .::::'      ::::     .:::::::'::::.

           .:::'       :::::  .:::::::::' ':::::.

          .::'        :::::.:::::::::'      ':::::.

         .::'         ::::::::::::::'         ``::::.

     ...:::           ::::::::::::'              ``::.

    ````':.          ':::::::::'                  ::::..

                       '.:::::'                    ':'````..

##############################################################-->

4K,#genre#

CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8

法国时尚4kUHD,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8

苏州4K频道,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8

Clarity4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8

LoveNature4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

XJJ,#genre#

小姐姐短视频,http://tucdn.wpon.cn/api-girl/index.php?wpon=302

小姐姐短视频,http://v.nrzj.vip/video.php?_t=

在线娱乐秀,#genre#

测试,https://meet-vip.github.io/123.mp4

测试,https://vdse.bdstatic.com//7df2102f0861ae3d79117afcf79a884d.mp4

网络热门歌曲点击切换,https://api.vvhan.com/api/rand.music?sort=%E7%83%AD%E6%AD%8C%E6%A6%9C

抖音姐姐热舞,http://epg.112114.xyz/douyu/8759139

YY音乐991好歌不停,http://150.158.81.157/yy.php?id=54880976

YY音乐991好歌不停,http://mmitv.top/pltv/yy.php?id=54880976

YY音乐991好歌不停,http://106.53.212.251/daili/yy.php?id=54880976

YY舞蹈993热舞不断,http://150.158.81.157/yy.php?id=22490906

YY舞蹈993热舞不断,http://mmitv.top/pltv/yy.php?id=22490906

YY舞蹈993热舞不断,http://106.53.212.251/daili/yy.php?id=22490906

快手轮播直播点击切换,http://mmitv.top/test/ks.php

阿富汗音乐,http://live.stream.cdn.pamirtv.com/ptv/d0dbe915091d400bd8ee7f27f0791303.sdp/index.m3u8

法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8

法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8



阿䜭arrFM,http://epg.112114.xyz/douyu/3809115

孙紫涵FM,http://epg.112114.xyz/douyu/10088

钙宝FM,http://epg.112114.xyz/douyu/1246033

音乐FHD,http://epg.112114.xyz/douyu/9588891

华语点歌台,http://epg.112114.xyz/douyu/3186217

斗鱼MV车载音乐,http://epg.112114.xyz/douyu/3870925

金马影院HD,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8

午夜影院,https://pull.kktv8.com/livekktv/99592190.flv

60帧极致蓝光陪看,http://epg.112114.xyz/douyu/747764

小鸽陪看,http://epg.112114.xyz/douyu/3928

怡宝港台科幻动作喜剧,http://epg.112114.xyz/douyu/434971

神乐华语经典,http://epg.112114.xyz/douyu/85894

经典小品,http://epg.112114.xyz/douyu/9067836

动漫花园,http://epg.112114.xyz/douyu/426517

周五七点半,http://epg.112114.xyz/douyu/78622

科幻Fans,http://epg.112114.xyz/douyu/3508304

邵氏电影,http://epg.112114.xyz/douyu/4246519

邪虐异染绝,http://epg.112114.xyz/douyu/4505431

恐怖电影,http://epg.112114.xyz/douyu/9275635

奶虫恐怖电影,http://epg.112114.xyz/douyu/263824

top金泰亨,http://epg.112114.xyz/douyu/40471

7师傅,http://epg.112114.xyz/douyu/17732

动漫舞蹈,http://epg.112114.xyz/douyu/9409703

乐光乐队,http://epg.112114.xyz/douyu/9572351

绝美动漫场景,http://epg.112114.xyz/douyu/9191790

音乐台长,http://epg.112114.xyz/douyu/9629943

斗鱼音乐MV,http://epg.112114.xyz/douyu/3870925

舞台现场饭拍MV,http://epg.112114.xyz/douyu/123351

漫威君,http://epg.112114.xyz/douyu/1713615

动漫推荐官方直播间,http://epg.112114.xyz/douyu/5187099

电影娱乐台,#genre#

番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8

